CurveId;CurveName;CountryCode;CountryName;FuelType;EPSI FuelType
910000148;EntsoE-ActualGeneration-BE-WindOffshore;BE;Belgium;WIND-OFFSHORE;Wind
910000139;EntsoE-ActualGeneration-BE-Gas;BE;Belgium;GAS;CCGT
910000142;EntsoE-ActualGeneration-BE-PumpedStorage;BE;Belgium;HYDRO-PUMPED-STORAGE;Hydro-PS
910000192;EntsoE_ActualGeneration_NL_WindOnshore_PROD;NL;Netherlands;WIND-ONSHORE;Wind
910000190;EntsoE_ActualGeneration_NL_WindOffshore_PROD;NL;Netherlands;WIND-OFFSHORE;Wind
910000188;EntsoE-ActualGeneration-NL-Other;NL;Netherlands;OTHER;Engine
910000184;EntsoE-ActualGeneration-NL-Gas;NL;Netherlands;GAS;CCGT
910000185;EntsoE-ActualGeneration-NL-HardCoal;NL;Netherlands;COAL;ST-Coal
910000186;EntsoE-ActualGeneration-NL-Nuclear;NL;Netherlands;NUCLEAR;ST-Nuclear
910000189;EntsoE-ActualGeneration-NL-Solar;NL;Netherlands;SOLAR;Solar
910000183;EntsoE-ActualGeneration-NL-Biomass;NL;Netherlands;BIOMASS;ST-Biomass
910000120;EntsoE_ActualGeneration_AT_Geothermal_PROD;AT;Austria;GEOTHERMAL;ST-Geo
910000132;EntsoE_ActualGeneration_AT_Solar_PROD;AT;Austria;SOLAR;Solar
910000134;EntsoE_ActualGeneration_AT_Waste_PROD;AT;Austria;WASTE;ST-Waste
910000116;EntsoE_ActualGeneration_AT_HardCoal_PROD;AT;Austria;COAL;ST-Coal
910000114;EntsoE_ActualGeneration_AT_Gas_PROD;AT;Austria;GAS;CCGT
910000122;EntsoE_ActualGeneration_AT_PumpStorage_PROD;AT;Austria;HYDRO-PUMPED-STORAGE;Hydro-PS
910000123;EntsoE_ActualGeneration_AT_PumpStorage_CONS;AT;Austria;HYDRO-PUMPED-STORAGE;Hydro-PS-C
910000136;EntsoE_ActualGeneration_AT_WindOnshore_PROD;AT;Austria;WIND-ONSHORE;Wind
910000124;EntsoE_ActualGeneration_AT_RoR_PROD;AT;Austria;HYDRO-RUN-OF-RIVER;Hydro-RoR
910000130;EntsoE_ActualGeneration_AT_OtherRenewable_PROD;AT;Austria;RENEWABLE;ST-Biomass
910000128;EntsoE_ActualGeneration_AT_Other_PROD;AT;Austria;OTHER;Engine
910000118;EntsoE_ActualGeneration_AT_Oil_PROD;AT;Austria;OIL;ST-Oil
910000126;EntsoE_ActualGeneration_AT_WaterReservoir_PROD;AT;Austria;HYDRO-RESERVOIR;Hydro-Res
